County,fips,TotalCases,TotalDeaths,Date
Fulton,13121,2131.0,75.0,04/19/2020
Dekalb,13089,1473.0,24.0,04/19/2020
Dougherty,13095,1425.0,90.0,04/19/2020
Cobb,13067,1148.0,54.0,04/19/2020
Gwinnett,13135,1124.0,38.0,04/19/2020
Hall,13139,625.0,6.0,04/19/2020
Clayton,13063,520.0,17.0,04/19/2020
Henry,13151,371.0,7.0,04/19/2020
Sumter,13261,332.0,14.0,04/19/2020
Cherokee,13057,300.0,8.0,04/19/2020
Carroll,13045,282.0,9.0,04/19/2020
Lee,13177,274.0,15.0,04/19/2020
Richmond,13245,264.0,10.0,04/19/2020
Bartow,13015,250.0,22.0,04/19/2020
Douglas,13097,233.0,6.0,04/19/2020
Muscogee,13215,224.0,4.0,04/19/2020
Mitchell,13205,203.0,23.0,04/19/2020
Forsyth,13117,202.0,7.0,04/19/2020
Bibb,13021,199.0,1.0,04/19/2020
Chatham,13051,178.0,5.0,04/19/2020
Upson,13293,173.0,8.0,04/19/2020
Early,13099,170.0,8.0,04/19/2020
Houston,13153,166.0,10.0,04/19/2020
Coweta,13077,164.0,3.0,04/19/2020
Terrell,13273,148.0,14.0,04/19/2020
Randolph,13243,144.0,13.0,04/19/2020
Fayette,13113,139.0,5.0,04/19/2020
Paulding,13223,137.0,7.0,04/19/2020
Rockdale,13247,131.0,6.0,04/19/2020
Newton,13217,130.0,3.0,04/19/2020
Spalding,13255,128.0,7.0,04/19/2020
Colquitt,13071,125.0,5.0,04/19/2020
Thomas,13275,125.0,13.0,04/19/2020
Floyd,13115,122.0,8.0,04/19/2020
Worth,13321,122.0,4.0,04/19/2020
Crisp,13081,118.0,2.0,04/19/2020
Baldwin,13009,112.0,3.0,04/19/2020
Clarke,13059,110.0,13.0,04/19/2020
Columbia,13073,101.0,1.0,04/19/2020
Lowndes,13185,96.0,3.0,04/19/2020
Troup,13285,92.0,4.0,04/19/2020
Tift,13277,91.0,3.0,04/19/2020
Barrow,13013,90.0,3.0,04/19/2020
Ware,13299,86.0,6.0,04/19/2020
Coffee,13069,79.0,4.0,04/19/2020
Habersham,13137,75.0,2.0,04/19/2020
Dooly,13093,70.0,5.0,04/19/2020
Gordon,13129,64.0,5.0,04/19/2020
Decatur,13087,62.0,1.0,04/19/2020
Walton,13297,61.0,3.0,04/19/2020
Calhoun,13037,58.0,2.0,04/19/2020
Turner,13287,58.0,2.0,04/19/2020
Pierce,13229,51.0,2.0,04/19/2020
Butts,13035,50.0,0.0,04/19/2020
Macon,13193,50.0,0.0,04/19/2020
Oconee,13219,50.0,0.0,04/19/2020
Glynn,13127,49.0,0.0,04/19/2020
Jackson,13157,48.0,1.0,04/19/2020
Burke,13033,47.0,2.0,04/19/2020
Dawson,13085,44.0,1.0,04/19/2020
Wilcox,13315,44.0,4.0,04/19/2020
Greene,13133,43.0,1.0,04/19/2020
Laurens,13175,43.0,1.0,04/19/2020
Whitfield,13313,43.0,3.0,04/19/2020
Harris,13145,42.0,2.0,04/19/2020
Meriwether,13199,42.0,0.0,04/19/2020
Mcduffie,13189,37.0,2.0,04/19/2020
Stephens,13257,35.0,1.0,04/19/2020
Bryan,13029,33.0,2.0,04/19/2020
Johnson,13167,33.0,1.0,04/19/2020
Oglethorpe,13221,33.0,2.0,04/19/2020
Pike,13231,33.0,1.0,04/19/2020
Liberty,13179,32.0,0.0,04/19/2020
Peach,13225,32.0,2.0,04/19/2020
Grady,13131,31.0,1.0,04/19/2020
Polk,13233,30.0,0.0,04/19/2020
Bulloch,13031,28.0,1.0,04/19/2020
Camden,13039,28.0,0.0,04/19/2020
Marion,13197,28.0,1.0,04/19/2020
Effingham,13103,26.0,1.0,04/19/2020
Lamar,13171,25.0,0.0,04/19/2020
Washington,13303,25.0,1.0,04/19/2020
Brooks,13027,23.0,5.0,04/19/2020
Lumpkin,13187,23.0,0.0,04/19/2020
Miller,13201,22.0,0.0,04/19/2020
Morgan,13211,22.0,0.0,04/19/2020
Putnam,13237,22.0,1.0,04/19/2020
Seminole,13253,22.0,2.0,04/19/2020
Appling,13001,20.0,0.0,04/19/2020
Catoosa,13047,20.0,0.0,04/19/2020
Clay,13061,20.0,2.0,04/19/2020
Haralson,13143,20.0,1.0,04/19/2020
Toombs,13279,20.0,2.0,04/19/2020
White,13311,20.0,0.0,04/19/2020
Wilkinson,13319,20.0,1.0,04/19/2020
Brantley,13025,19.0,2.0,04/19/2020
Dodge,13091,19.0,0.0,04/19/2020
Bacon,13005,18.0,1.0,04/19/2020
Murray,13213,18.0,0.0,04/19/2020
Pickens,13227,18.0,2.0,04/19/2020
Pulaski,13235,18.0,1.0,04/19/2020
Wilkes,13317,18.0,0.0,04/19/2020
Baker,13007,17.0,2.0,04/19/2020
Jasper,13159,17.0,0.0,04/19/2020
Jones,13169,17.0,0.0,04/19/2020
Fannin,13111,16.0,0.0,04/19/2020
Schley,13249,16.0,1.0,04/19/2020
Talbot,13263,16.0,1.0,04/19/2020
Ben Hill,13017,15.0,0.0,04/19/2020
Irwin,13155,15.0,0.0,04/19/2020
Monroe,13207,15.0,1.0,04/19/2020
Stewart,13259,15.0,0.0,04/19/2020
Walker,13295,15.0,0.0,04/19/2020
Banks,13011,14.0,0.0,04/19/2020
Madison,13195,14.0,1.0,04/19/2020
Telfair,13271,14.0,0.0,04/19/2020
Union,13291,14.0,1.0,04/19/2020
Crawford,13079,13.0,0.0,04/19/2020
Emanuel,13107,13.0,0.0,04/19/2020
Towns,13281,13.0,0.0,04/19/2020
Cook,13075,12.0,1.0,04/19/2020
Gilmer,13123,12.0,0.0,04/19/2020
Jenkins,13165,12.0,1.0,04/19/2020
Jefferson,13163,11.0,1.0,04/19/2020
Screven,13251,11.0,1.0,04/19/2020
Taylor,13269,11.0,2.0,04/19/2020
Berrien,13019,10.0,0.0,04/19/2020
Franklin,13119,10.0,0.0,04/19/2020
Warren,13301,10.0,0.0,04/19/2020
Chattooga,13055,9.0,1.0,04/19/2020
Lincoln,13181,9.0,0.0,04/19/2020
Dade,13083,8.0,1.0,04/19/2020
Candler,13043,7.0,0.0,04/19/2020
Clinch,13065,7.0,0.0,04/19/2020
Elbert,13105,7.0,0.0,04/19/2020
Hancock,13141,7.0,0.0,04/19/2020
Heard,13149,7.0,1.0,04/19/2020
Jeff Davis,13161,7.0,0.0,04/19/2020
Rabun,13241,7.0,0.0,04/19/2020
Wayne,13305,7.0,0.0,04/19/2020
Bleckley,13023,6.0,0.0,04/19/2020
Charlton,13049,6.0,0.0,04/19/2020
Chattahoochee,13053,6.0,0.0,04/19/2020
Hart,13147,6.0,0.0,04/19/2020
Lanier,13173,6.0,1.0,04/19/2020
Atkinson,13003,5.0,0.0,04/19/2020
Tattnall,13267,5.0,0.0,04/19/2020
Webster,13307,5.0,0.0,04/19/2020
Echols,13101,4.0,0.0,04/19/2020
Mcintosh,13191,4.0,0.0,04/19/2020
Twiggs,13289,4.0,0.0,04/19/2020
Quitman,13239,3.0,1.0,04/19/2020
Wheeler,13309,3.0,0.0,04/19/2020
Evans,13109,2.0,0.0,04/19/2020
Long,13183,2.0,0.0,04/19/2020
Montgomery,13209,2.0,0.0,04/19/2020
Treutlen,13283,1.0,0.0,04/19/2020
Unknown,0,257.0,0.0,04/19/2020
Non-Georgia Resident,0,870.0,7.0,04/19/2020
Glascock,13125,,,04/19/2020
Taliaferro,13265,,,04/19/2020
