County,fips,TotalCases,TotalDeaths,Date
Bryan,13029,45.0,2.0,04/24/2020
Oglethorpe,13221,41.0,3.0,04/24/2020
Brooks,13027,39.0,6.0,04/24/2020
Mcduffie,13189,39.0,4.0,04/24/2020
Pike,13231,37.0,2.0,04/24/2020
Johnson,13167,36.0,1.0,04/24/2020
Peach,13225,36.0,2.0,04/24/2020
Polk,13233,36.0,0.0,04/24/2020
White,13311,36.0,0.0,04/24/2020
Liberty,13179,35.0,0.0,04/24/2020
Bulloch,13031,34.0,2.0,04/24/2020
Marion,13197,34.0,1.0,04/24/2020
Effingham,13103,33.0,1.0,04/24/2020
Lamar,13171,31.0,0.0,04/24/2020
Washington,13303,30.0,1.0,04/24/2020
Gilmer,13123,29.0,0.0,04/24/2020
Lumpkin,13187,29.0,0.0,04/24/2020
Putnam,13237,29.0,3.0,04/24/2020
Camden,13039,28.0,1.0,04/24/2020
Seminole,13253,27.0,2.0,04/24/2020
Wilkinson,13319,27.0,2.0,04/24/2020
Haralson,13143,26.0,1.0,04/24/2020
Miller,13201,26.0,0.0,04/24/2020
Toombs,13279,26.0,3.0,04/24/2020
Morgan,13211,25.0,0.0,04/24/2020
Union,13291,25.0,1.0,04/24/2020
Jones,13169,24.0,0.0,04/24/2020
Dodge,13091,22.0,0.0,04/24/2020
Wilkes,13317,22.0,0.0,04/24/2020
Ben Hill,13017,21.0,0.0,04/24/2020
Talbot,13263,21.0,1.0,04/24/2020
Bacon,13005,20.0,1.0,04/24/2020
Brantley,13025,20.0,2.0,04/24/2020
Clay,13061,20.0,2.0,04/24/2020
Fannin,13111,20.0,0.0,04/24/2020
Madison,13195,20.0,1.0,04/24/2020
Pickens,13227,20.0,2.0,04/24/2020
Pulaski,13235,20.0,1.0,04/24/2020
Baker,13007,19.0,2.0,04/24/2020
Jasper,13159,19.0,0.0,04/24/2020
Murray,13213,19.0,0.0,04/24/2020
Towns,13281,19.0,0.0,04/24/2020
Emanuel,13107,18.0,0.0,04/24/2020
Monroe,13207,18.0,1.0,04/24/2020
Stewart,13259,17.0,0.0,04/24/2020
Banks,13011,16.0,0.0,04/24/2020
Dade,13083,16.0,1.0,04/24/2020
Schley,13249,16.0,1.0,04/24/2020
Telfair,13271,16.0,0.0,04/24/2020
Cook,13075,15.0,1.0,04/24/2020
Elbert,13105,15.0,0.0,04/24/2020
Franklin,13119,15.0,0.0,04/24/2020
Irwin,13155,15.0,1.0,04/24/2020
Jenkins,13165,15.0,1.0,04/24/2020
Crawford,13079,14.0,0.0,04/24/2020
Hancock,13141,14.0,0.0,04/24/2020
Screven,13251,14.0,1.0,04/24/2020
Taylor,13269,14.0,2.0,04/24/2020
Jefferson,13163,13.0,1.0,04/24/2020
Berrien,13019,12.0,0.0,04/24/2020
Warren,13301,12.0,0.0,04/24/2020
Chattooga,13055,11.0,1.0,04/24/2020
Wayne,13305,11.0,0.0,04/24/2020
Jeff Davis,13161,10.0,1.0,04/24/2020
Lincoln,13181,10.0,0.0,04/24/2020
Heard,13149,9.0,1.0,04/24/2020
Rabun,13241,9.0,0.0,04/24/2020
Chattahoochee,13053,8.0,0.0,04/24/2020
Atkinson,13003,7.0,0.0,04/24/2020
Bleckley,13023,7.0,0.0,04/24/2020
Candler,13043,7.0,0.0,04/24/2020
Charlton,13049,7.0,0.0,04/24/2020
Clinch,13065,7.0,0.0,04/24/2020
Lanier,13173,7.0,1.0,04/24/2020
Webster,13307,7.0,0.0,04/24/2020
Hart,13147,6.0,0.0,04/24/2020
Tattnall,13267,6.0,0.0,04/24/2020
Twiggs,13289,6.0,0.0,04/24/2020
Echols,13101,5.0,0.0,04/24/2020
Evans,13109,4.0,0.0,04/24/2020
Mcintosh,13191,4.0,0.0,04/24/2020
Long,13183,3.0,0.0,04/24/2020
Quitman,13239,3.0,1.0,04/24/2020
Wheeler,13309,3.0,0.0,04/24/2020
Montgomery,13209,2.0,0.0,04/24/2020
Treutlen,13283,2.0,0.0,04/24/2020
Unknown,0,412.0,0.0,04/24/2020
Non-Georgia Resident,0,927.0,10.0,04/24/2020
Glascock,13125,,,04/24/2020
Taliaferro,13265,,,04/24/2020
